TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz
635670246127500256,1.7931,-0.0229829,5.00111,2.26715,0.000720409,-1.85952,0.801511,-0.169518
635670246128741229,1.78346,-0.014758,4.99399,0.163497,0.000107895,-1.8524,0.782181,-0.158715
635670246130502363,1.76949,0.00101483,4.98321,0.447911,0.00082184,-1.84162,0.726196,-0.141758
635670246131673220,1.75774,0.0238902,4.9715,0.666809,0.00100809,-1.82991,0.665528,-0.117772
635670246133424532,1.74682,0.047522,4.9639,0.684649,0.000850533,-1.8223,0.608589,-0.102151
635670246135295812,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246137157071,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246138277848,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246139498732,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246141190421,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246142961673,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246144813013,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246145933787,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246147848747,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246148979465,1.74682,0.047522,4.9639,0,0,-1.8223,0.608589,-0.102151
635670246150820778,1.74041,0.0875862,4.95357,1.75446,0.000842856,-1.81198,0.551247,-0.099487
635670246151881638,1.73323,0.107869,4.95193,0.46739,0.000150801,-1.81033,0.52721,-0.0938007
635670246153082356,1.7231,0.127858,4.95256,0.502131,2.2709E-05,-1.81097,0.520866,-0.0870261
635670246154943821,1.71369,0.16243,4.94689,1.31601,0.000273418,-1.8053,0.48817,-0.0844817
635670246156084488,1.69858,0.185095,4.95073,0.746287,2.72398E-05,-1.80914,0.489387,-0.0764868
