TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz,Rx_Deg,Ry_Deg,Rz_Deg
6.3567E+17,1.7903,0.595163,4.97707,0.176133,8.81E-06,-1.83548,0.451784,-0.123641,-105.1652574,25.88531645,-7.084107475
6.3567E+17,1.7836,0.608687,4.9812,0.228467,3.40E-05,-1.83961,0.462808,-0.12469,-105.401889,26.51694512,-7.144210747
6.3567E+17,1.78221,0.612555,4.98261,0.017031,8.69E-07,-1.84102,0.464169,-0.125144,-105.482676,26.59492468,-7.170223031
6.3567E+17,1.77713,0.624464,4.98115,0.168312,1.25E-05,-1.83955,0.470149,-0.12803,-105.3984512,26.93755344,-7.335578651
6.3567E+17,1.77444,0.630375,4.98029,0.0422803,3.06E-06,-1.8387,0.473516,-0.128222,-105.3497498,27.13046833,-7.346579441
6.3567E+17,1.77237,0.64174,4.97992,0.135083,1.18E-05,-1.83832,0.480215,-0.129535,-105.3279774,27.51429276,-7.421808799
6.3567E+17,1.77205,0.655813,4.98261,0.199848,2.03E-05,-1.84102,0.488791,-0.132164,-105.482676,28.00566136,-7.572439404
6.3567E+17,1.77214,0.662442,4.98351,0.0447041,1.00E-06,-1.84192,0.490462,-0.133358,-105.5342422,28.10140261,-7.640850564
6.3567E+17,1.76816,0.676715,4.98189,0.219698,8.06E-06,-1.8403,0.49498,-0.135723,-105.441423,28.36026494,-7.776355083
6.3567E+17,1.76973,0.689784,4.98136,0.17582,5.87E-06,-1.83977,0.499281,-0.133287,-105.4110563,28.60669409,-7.636782564
6.3567E+17,1.77064,0.698119,4.97999,0.0718178,7.75E-06,-1.8384,0.503378,-0.1362,-105.3325611,28.8414349,-7.80368517
6.3567E+17,1.76956,0.702093,4.98117,0.0172168,3.71E-06,-1.83958,0.504816,-0.140192,-105.4001701,28.92382623,-8.032409921
6.3567E+17,1.76805,0.709808,4.98014,0.0618117,4.12E-06,-1.83855,0.508509,-0.138274,-105.3411554,29.13541954,-7.922516616
6.3567E+17,1.76885,0.714966,4.97967,0.027719,3.86E-06,-1.83808,0.512078,-0.139634,-105.3142264,29.33990818,-8.000438877
6.3567E+17,1.76737,0.723288,4.97657,0.0714535,1.62E-05,-1.83497,0.519358,-0.136013,-105.1360365,29.75702146,-7.792970859
6.3567E+17,1.76712,0.724675,4.97604,0.00198336,4.49E-07,-1.83445,0.52057,-0.135405,-105.1062427,29.82646394,-7.758135025
6.3567E+17,1.7625,0.734681,4.98419,0.126217,0.000400695,-1.8426,0.559465,-0.146015,-105.5732033,32.05498329,-8.366043246
6.3567E+17,1.75595,0.739936,4.99091,0.0728361,0.000377662,-1.84931,0.596209,-0.161041,-105.957658,34.16025941,-9.226969629
6.3567E+17,1.86972,0.802785,5.53198,20.7334,0.0604433,-2.39039,0.570027,-0.262736,-136.9592584,32.66014131,-15.05366393
6.3567E+17,1.92647,0.843003,5.92503,11.776,0.0340748,-2.78343,0.523633,-0.319182,-159.4787916,30.00196091,-18.2877815
6.3567E+17,1.85746,0.802575,5.51729,14.8706,0.0398216,-2.3757,0.609968,-0.285087,-136.1175834,34.94859204,-16.33428189
6.3567E+17,1.80502,0.773207,5.26819,4.95687,0.0132717,-2.12659,0.648865,-0.243797,-121.8446318,37.17722597,-13.96853916
6.3567E+17,1.76133,0.749632,5.07565,2.79362,0.00746892,-1.93406,0.671866,-0.204743,-110.8134753,38.4950862,-11.73090978
